fold,train_accuracy,test_accuracy,train_f1,test_f1,train_pearson,test_pearson
1,0.7513789746917586,0.6924119241192412,0.7489145572212665,0.5982300884955752,0.5839123600110381,0.40274822163589447
2,0.6964879552275124,0.6146540027137042,0.6703664552501761,0.563076923076923,0.4527630866429746,0.26634100535316574
3,0.7264839442101849,0.5190735694822888,0.7302247460609453,0.6311389759665622,0.5270131898551819,-0.05942878205295104
4,0.6821535717181545,0.5402455661664393,0.6308851224105462,0.6284454244762955,0.43627430602811357,0.028219035478256195
5,0.6851236319416295,0.5759233926128591,0.6535236396074933,0.5047923322683706,0.439648149092157,0.18129416470604687
6,0.7560599918929874,0.4911080711354309,0.7476306298750315,0.5013404825737265,0.5835370784085802,0.08928056853677321
7,0.6920145926226186,0.5157318741450069,0.6988983118015376,0.5163934426229508,0.447954301948877,0.10161969270758373
8,0.7642862932641648,0.5720164609053497,0.7642289605967245,0.5214723926380368,0.5904059547266712,0.21679207671040446
9,0.6913350085109832,0.6268861454046639,0.672458283158438,0.6034985422740525,0.4529356238104946,0.26960689241248603
10,0.727913762360188,0.6662087912087912,0.7236354655470486,0.678996036988111,0.5143740422113149,0.40544322623345197
11,0.685119144107635,0.43131868131868134,0.6452378778193772,0.4888888888888889,0.4282375813412746,0.23119748126978176
12,0.7380064829821718,0.4669421487603306,0.7350651479144472,0.30018083182640143,0.546412426973061,0.22101959695158224
13,0.6945952516003565,0.5793103448275863,0.6671964679911699,0.6114649681528662,0.453853487042301,0.2726825475981257
14,0.6812251843448667,0.48,0.6352002967359051,0.6027397260273972,0.4251705823756038,0.31929752594912
15,0.7580984774862326,0.6211699164345403,0.7632559245462471,0.5342465753424658,0.5783565419920469,0.2949648607081613
16,0.6861792567403449,0.606993006993007,0.7125908349399377,0.5163511187607573,0.4392600171210859,0.405609304737942
17,0.7452837826896608,0.7188811188811188,0.740685789647214,0.7257844474761255,0.5612945843266535,0.49078275562623785
18,0.6755839327568092,0.4531024531024531,0.6986486486486486,0.02570694087403599,0.42371151977858895,0.035149190964335414
