fold,train_accuracy,test_accuracy,train_f1,test_f1,train_pearson,test_pearson
1,0.6502271252433485,0.6978319783197832,0.629553264604811,0.5878003696857671,0.3718618068235259,0.3672302772910828
2,0.6393868115824479,0.5861601085481682,0.5670886075949367,0.46956521739130436,0.36174919229367325,0.28477964787135357
3,0.6739377229970808,0.7138964577656676,0.653690465937473,0.7,0.405361060004801,0.553018007026006
4,0.6889645666099083,0.5429740791268759,0.6397445529676935,0.5527369826435247,0.433125072520065,0.28416341823514646
5,0.669071747061208,0.46101231190150477,0.6414265635980323,0.41543026706231456,0.3988857829459054,-0.20552557098706048
6,0.6835022294284556,0.6060191518467852,0.6142292490118577,0.6,0.4385241926071477,0.3555301687214621
7,0.6610458046209972,0.6456908344733242,0.6085572511937084,0.6560424966799469,0.3825854917261539,0.32577573811241195
8,0.6771500364756424,0.6172839506172839,0.6099304671432768,0.4665391969407266,0.44020621255167275,0.2540393216391103
9,0.6619113236605334,0.5651577503429356,0.6353702246699886,0.5663474692202463,0.3859198603167218,0.1156303767999405
10,0.6540768357918625,0.6208791208791209,0.5916570991197857,0.5727554179566563,0.3680142255959215,0.4175800293280518
11,0.6949262441238451,0.489010989010989,0.6725817675713291,0.5974025974025974,0.4463267974399355,0.05190440226177132
12,0.6574554294975689,0.6101928374655647,0.6492407269106298,0.2871536523929471,0.398318138303601,0.1551314754572065
13,0.6497042379061664,0.6537931034482759,0.6042296072507553,0.6630872483221476,0.36241308681165846,0.4733861154259482
14,0.6898954703832753,0.5503448275862068,0.663619583369957,0.6810176125244618,0.44114309844781463,0.2330346700199163
15,0.6577583414318108,0.5807799442896936,0.6239544402918669,0.428842504743833,0.3777965438247508,0.20844172330122568
16,0.6629422718808193,0.45594405594405596,0.6728487229862475,0.39502332814930013,0.38700948186143885,0.050158509615866535
17,0.6900655817342726,0.6615384615384615,0.6694300518134715,0.6552706552706553,0.43946813592859074,0.3907421565040878
18,0.6665319647619817,0.455988455988456,0.677555486089403,0.025839793281653745,0.3931451997579106,0.1505163848163035
